"\"Date\"";"\"Temp max extreme\"";"\"Temp max moyenne\"";"\"Temp moyenne\"";"\"Temp mini moyenne\"";"\"Temp mini extreme\"";"\"Temp maxi minimale\"";"\"Temp mini maximale\"";"\"DJU chauffagiste\"";"\"DJU climaticien\"";"\"Ensoleillement (h)\"";"\"Precipitations cumul\"";"\"Precipitation max en 1j\"";"\"Precipitation max en 5j\"";"\"Precipitation moyenne\"";"\"Neige au sol max\"";"\"Rafale maximale\"";"\"Pression min\"";"\"Pression max\""
"\"01/2004\"";"\"15.0\"";"\"5.4\"";"\"2.3\"";"\"-0.8\"";"\"-12.2\"";"\"-1.9\"";"\"6.9\"";"\"487.5\"";"\"N/A\"";"\"63.9\"";"\"62.0\"";"\"15.2\"";"\"28.0\"";"\"4.0\"";"\"6.0\"";"\"75.9\"";"\"999.8\"";"\"1027.5\""
"\"02/2004\"";"\"14.9\"";"\"7.8\"";"\"3.1\"";"\"-1.6\"";"\"-9.5\"";"\"1.0\"";"\"5.6\"";"\"432.9\"";"\"N/A\"";"\"108.8\"";"\"39.6\"";"\"26.6\"";"\"37.0\"";"\"7.9\"";"\"10.0\"";"\"53.7\"";"\"998.5\"";"\"1037.2\""
"\"03/2004\"";"\"22.5\"";"\"10.9\"";"\"5.8\"";"\"0.9\"";"\"-6.3\"";"\"0.9\"";"\"8.9\"";"\"377\"";"\"1.4\"";"\"160.9\"";"\"48.8\"";"\"19.4\"";"\"20.0\"";"\"5.2\"";"\"1.0\"";"\"64.8\"";"\"1009.7\"";"\"1035.7\""
"\"04/2004\"";"\"21.7\"";"\"14.7\"";"\"9.1\"";"\"3.7\"";"\"-2.6\"";"\"4.9\"";"\"11.4\"";"\"268.1\"";"\"2.5\"";"\"151.9\"";"\"45.0\"";"\"10.8\"";"\"17.6\"";"\"4.3\"";"\"0\"";"\"57.4\"";"\"995.7\"";"\"1027.9\""
"\"05/2004\"";"\"27.5\"";"\"19.3\"";"\"12.9\"";"\"6.7\"";"\"1.5\"";"\"11.4\"";"\"12.8\"";"\"173.7\"";"\"17.3\"";"\"255.8\"";"\"46.2\"";"\"13.0\"";"\"27.8\"";"\"5.0\"";"\"0\"";"\"57.2\"";"\"989.7\"";"\"1025.7\""
"\"06/2004\"";"\"31.8\"";"\"25.0\"";"\"18.3\"";"\"11.6\"";"\"6.8\"";"\"16.9\"";"\"20.4\"";"\"61.1\"";"\"87.6\"";"\"286.8\"";"\"19.4\"";"\"9.6\"";"\"16.8\"";"\"4.5\"";"\"0\"";"\"61.1\"";"\"1005.3\"";"\"1025.0\""
"\"07/2004\"";"\"34.5\"";"\"27.4\"";"\"20.3\"";"\"12.9\"";"\"6.8\"";"\"19.9\"";"\"18.4\"";"\"44.8\"";"\"164.7\"";"\"289.8\"";"\"12.4\"";"\"8.0\"";"\"8.6\"";"\"5.0\"";"\"0\"";"\"57.6\"";"\"1006.8\"";"\"1022.2\""
"\"08/2004\"";"\"35.7\"";"\"26.6\"";"\"20.3\"";"\"14.3\"";"\"6.5\"";"\"18.8\"";"\"19.7\"";"\"31.9\"";"\"163.3\"";"\"230.7\"";"\"178.2\"";"\"72.6\"";"\"80.2\"";"\"16.1\"";"\"0\"";"\"90.7\"";"\"1006.4\"";"\"1023.8\""
"\"09/2004\"";"\"29.3\"";"\"22.5\"";"\"16.4\"";"\"10.8\"";"\"4.7\"";"\"14.5\"";"\"16.3\"";"\"86.5\"";"\"47.5\"";"\"239\"";"\"23.8\"";"\"10.6\"";"\"16.0\"";"\"4.5\"";"\"0\"";"\"61.1\"";"\"1010.7\"";"\"1026.5\""
"\"10/2004\"";"\"24.7\"";"\"18.4\"";"\"14.0\"";"\"9.5\"";"\"3.1\"";"\"9.9\"";"\"14.0\"";"\"141.2\"";"\"15.8\"";"\"116.7\"";"\"187.0\"";"\"59.4\"";"\"104.6\"";"\"11.0\"";"\"0\"";"\"64.8\"";"\"998.5\"";"\"1024.5\""
"\"11/2004\"";"\"16.3\"";"\"8.9\"";"\"5.1\"";"\"1.6\"";"\"-5.3\"";"\"3.0\"";"\"10.5\"";"\"383\"";"\"N/A\"";"\"84.4\"";"\"41.8\"";"\"18.4\"";"\"33.0\"";"\"6.8\"";"\"0\"";"\"72.2\"";"\"1008.2\"";"\"1033.7\""
"\"12/2004\"";"\"14.0\"";"\"5.7\"";"\"2.2\"";"\"-1.0\"";"\"-8.9\"";"\"1.0\"";"\"4.4\"";"\"487\"";"\"N/A\"";"\"81.8\"";"\"47.4\"";"\"14.4\"";"\"27.4\"";"\"7.6\"";"\"5.0\"";"\"68.3\"";"\"998.3\"";"\"1036.8\""
"\"01/2005\"";"\"12.2\"";"\"5.6\"";"\"1.7\"";"\"-2.1\"";"\"-9.9\"";"\"-3.5\"";"\"5.5\"";"\"504.6\"";"\"N/A\"";"\"142.3\"";"\"41.6\"";"\"13.6\"";"\"29.8\"";"\"6.7\"";"\"6.0\"";"\"79.5\"";"\"1005.5\"";"\"1040.7\""
"\"02/2005\"";"\"12.1\"";"\"3.7\"";"\"-0.1\"";"\"-3.5\"";"\"-12.9\"";"\"-3.6\"";"\"3.8\"";"\"502.5\"";"\"N/A\"";"\"93\"";"\"44.0\"";"\"18.4\"";"\"36.8\"";"\"7.1\"";"\"14.0\"";"\"72.2\"";"\"1002.3\"";"\"1037.4\""
"\"03/2005\"";"\"21.8\"";"\"11.9\"";"\"6.2\"";"\"0.8\"";"\"-14.7\"";"\"-0.2\"";"\"10.3\"";"\"363.8\"";"\"3.1\"";"\"181\"";"\"33.4\"";"\"7.4\"";"\"12.2\"";"\"3.9\"";"\"11.0\"";"\"53.5\"";"\"1004.6\"";"\"1033.8\""
"\"04/2005\"";"\"27.1\"";"\"14.8\"";"\"9.2\"";"\"3.6\"";"\"-1.5\"";"\"2.4\"";"\"9.2\"";"\"271.9\"";"\"6.6\"";"\"134.1\"";"\"169.6\"";"\"45.2\"";"\"100.6\"";"\"13.0\"";"\"24.0\"";"\"79.5\"";"\"1002.8\"";"\"1029.1\""
"\"05/2005\"";"\"29.2\"";"\"20.5\"";"\"14.2\"";"\"8.1\"";"\"0.4\"";"\"13.4\"";"\"13.6\"";"\"142.5\"";"\"27.3\"";"\"239\"";"\"68.8\"";"\"24.0\"";"\"27.0\"";"\"6.7\"";"\"0\"";"\"61.1\"";"\"1008.6\"";"\"1026.9\""
"\"06/2005\"";"\"35.3\"";"\"26.6\"";"\"19.5\"";"\"12.3\"";"\"2.1\"";"\"19.2\"";"\"17.7\"";"\"57.9\"";"\"101.9\"";"\"316.2\"";"\"22.0\"";"\"8.0\"";"\"10.4\"";"\"5.2\"";"\"0\"";"\"64.8\"";"\"1006.7\"";"\"1029.8\""
"\"07/2005\"";"\"36.7\"";"\"26.8\"";"\"20.4\"";"\"13.6\"";"\"6.6\"";"\"16.8\"";"\"19.9\"";"\"41.7\"";"\"164.1\"";"\"276.9\"";"\"66.8\"";"\"37.8\"";"\"37.8\"";"\"13.2\"";"\"0\"";"\"68.3\"";"\"1005.9\"";"\"1026.4\""
"\"08/2005\"";"\"29.8\"";"\"23.5\"";"\"17.8\"";"\"12.2\"";"\"5.6\"";"\"14.9\"";"\"15.6\"";"\"60.6\"";"\"55.6\"";"\"243.1\"";"\"78.2\"";"\"18.2\"";"\"27.0\"";"\"7.0\"";"\"0\"";"\"57.6\"";"\"1009.6\"";"\"1024.9\""
"\"09/2005\"";"\"31.0\"";"\"21.7\"";"\"16.4\"";"\"11.2\"";"\"2.9\"";"\"11.7\"";"\"16.9\"";"\"88.5\"";"\"42.6\"";"\"259.4\"";"\"49.1\"";"\"11.8\"";"\"25.3\"";"\"6.8\"";"\"0\"";"\"46.5\"";"\"1006.4\"";"\"1026.5\""
"\"10/2005\"";"\"23.1\"";"\"19.0\"";"\"14.1\"";"\"9.4\"";"\"6.1\"";"\"10.5\"";"\"13.2\"";"\"130.6\"";"\"11.8\"";"\"153.7\"";"\"130.6\"";"\"42.4\"";"\"82.6\"";"\"14.4\"";"\"0\"";"\"50.0\"";"\"1009.7\"";"\"1025.3\""
"\"11/2005\"";"\"20.2\"";"\"8.8\"";"\"5.2\"";"\"1.3\"";"\"-8.9\"";"\"-4.0\"";"\"11.8\"";"\"389.2\"";"\"0.4\"";"\"117.8\"";"\"57.6\"";"\"44.2\"";"\"44.4\"";"\"9.5\"";"\"7.0\"";"\"53.5\"";"\"996.1\"";"\"1036.7\""
"\"12/2005\"";"\"12.6\"";"\"3.1\"";"\"-0.3\"";"\"-3.2\"";"\"-20.2\"";"\"-4.0\"";"\"6.6\"";"\"561.1\"";"\"N/A\"";"\"81.3\"";"\"68.2\"";"\"12.6\"";"\"28.6\"";"\"6.8\"";"\"18.0\"";"\"68.3\"";"\"997.9\"";"\"1036.2\""
"\"01/2006\"";"\"10.6\"";"\"4.6\"";"\"0.8\"";"\"-2.8\"";"\"-8.1\"";"\"-1.6\"";"\"3.3\"";"\"530.3\"";"\"N/A\"";"\"117.2\"";"\"34.0\"";"\"12.0\"";"\"12.4\"";"\"8.0\"";"\"17.0\"";"\"57.6\"";"\"1007.5\"";"\"1034.0\""
"\"02/2006\"";"\"14.6\"";"\"5.5\"";"\"1.6\"";"\"-2.2\"";"\"-7.7\"";"\"-4.4\"";"\"5.2\"";"\"459.9\"";"\"N/A\"";"\"82.8\"";"\"43.0\"";"\"20.0\"";"\"42.4\"";"\"10.6\"";"\"4.0\"";"\"68.3\"";"\"994.9\"";"\"1030.2\""
"\"03/2006\"";"\"22.4\"";"\"10.5\"";"\"6.2\"";"\"1.7\"";"\"-7.3\"";"\"0.4\"";"\"10.1\"";"\"369.9\"";"\"1.1\"";"\"130.7\"";"\"119.2\"";"\"18.8\"";"\"40.2\"";"\"7.3\"";"\"4.0\"";"\"75.9\"";"\"991.9\"";"\"1026.2\""
"\"04/2006\"";"\"23.3\"";"\"16.0\"";"\"10.2\"";"\"4.3\"";"\"-3.5\"";"\"5.3\"";"\"10.6\"";"\"240.8\"";"\"4.9\"";"\"193.4\"";"\"61.0\"";"\"24.6\"";"\"35.0\"";"\"7.6\"";"\"1.0\"";"\"64.8\"";"\"1002.3\"";"\"1024.9\""
"\"05/2006\"";"\"27.8\"";"\"20.4\"";"\"14.1\"";"\"8.2\"";"\"-0.2\"";"\"11.7\"";"\"13.0\"";"\"139.9\"";"\"25\"";"\"225.2\"";"\"74.2\"";"\"34.0\"";"\"49.4\"";"\"7.3\"";"\"0\"";"\"68.3\"";"\"1005.8\"";"\"1028.5\""
"\"06/2006\"";"\"31.1\"";"\"26.5\"";"\"18.8\"";"\"11.3\"";"\"2.4\"";"\"14.6\"";"\"17.7\"";"\"71.3\"";"\"97.4\"";"\"327.8\"";"\"24.8\"";"\"11.6\"";"\"22.2\"";"\"7.5\"";"\"0\"";"\"66.5\"";"\"1007.7\"";"\"1025.9\""
"\"07/2006\"";"\"35.8\"";"\"31.1\"";"\"23.9\"";"\"16.8\"";"\"13.1\"";"\"24.0\"";"\"20.7\"";"\"7.2\"";"\"335.4\"";"\"320.3\"";"\"55.0\"";"\"23.2\"";"\"39.4\"";"\"10.7\"";"\"0\"";"\"57.6\"";"\"1009.2\"";"\"1024.1\""
"\"08/2006\"";"\"27.9\"";"\"22.6\"";"\"17.3\"";"\"12.0\"";"\"6.0\"";"\"15.3\"";"\"17.0\"";"\"66.8\"";"\"45\"";"\"215.6\"";"\"91.0\"";"\"18.8\"";"\"35.6\"";"\"7.5\"";"\"0\"";"\"87.0\"";"\"1001.8\"";"\"1026.5\""
"\"09/2006\"";"\"29.6\"";"\"24.1\"";"\"18.7\"";"\"13.5\"";"\"7.5\"";"\"15.3\"";"\"17.4\"";"\"42.7\"";"\"66\"";"\"193.6\"";"\"84.4\"";"\"43.0\"";"\"67.4\"";"\"13.9\"";"\"0\"";"\"57.4\"";"\"1001.2\"";"\"1026.0\""
"\"10/2006\"";"\"24.2\"";"\"20.0\"";"\"14.8\"";"\"10.0\"";"\"4.0\"";"\"15.8\"";"\"16.3\"";"\"110.6\"";"\"17.7\"";"\"155.8\"";"\"68.6\"";"\"16.0\"";"\"29.6\"";"\"11.0\"";"\"0\"";"\"90.7\"";"\"1000.0\"";"\"1029.0\""
"\"11/2006\"";"\"20.1\"";"\"14.0\"";"\"8.7\"";"\"3.9\"";"\"-5.1\"";"\"8.1\"";"\"14.9\"";"\"273.7\"";"\"1\"";"\"138.5\"";"\"85.8\"";"\"41.6\"";"\"71.2\"";"\"14.0\"";"\"0\"";"\"66.5\"";"\"1003.5\"";"\"1035.0\""
"\"12/2006\"";"\"16.4\"";"\"8.0\"";"\"3.6\"";"\"-0.4\"";"\"-7.8\"";"\"-1.0\"";"\"10.7\"";"\"441.7\"";"\"N/A\"";"\"119\"";"\"43.4\"";"\"31.0\"";"\"35.6\"";"\"8.0\"";"\"0\"";"\"79.5\"";"\"999.4\"";"\"1038.5\""
"\"01/2007\"";"\"15.8\"";"\"8.0\"";"\"4.1\"";"\"0.7\"";"\"-11.0\"";"\"-4.0\"";"\"7.4\"";"\"423.4\"";"\"N/A\"";"\"75.7\"";"\"46.8\"";"\"15.6\"";"\"20.2\"";"\"6.5\"";"\"15.0\"";"\"90.7\"";"\"996.2\"";"\"1037.2\""
"\"02/2007\"";"\"16.9\"";"\"10.4\"";"\"6.0\"";"\"1.8\"";"\"-4.2\"";"\"2.9\"";"\"7.3\"";"\"334.8\"";"\"N/A\"";"\"94.8\"";"\"73.0\"";"\"14.0\"";"\"42.0\"";"\"6.4\"";"\"0\"";"\"64.8\"";"\"999.9\"";"\"1032.9\""
"\"03/2007\"";"\"18.9\"";"\"11.9\"";"\"7.0\"";"\"1.8\"";"\"-2.2\"";"\"2.3\"";"\"9.4\"";"\"345.6\"";"\"0.1\"";"\"175.5\"";"\"60.4\"";"\"8.2\"";"\"20.0\"";"\"4.0\"";"\"3.0\"";"\"75.9\"";"\"995.4\"";"\"1035.2\""
"\"04/2007\"";"\"27.5\"";"\"20.8\"";"\"13.8\"";"\"6.4\"";"\"-0.9\"";"\"10.4\"";"\"12.0\"";"\"155.8\"";"\"23.6\"";"\"264.5\"";"\"15.6\"";"\"6.4\"";"\"12.6\"";"\"3.7\"";"\"0\"";"\"53.5\"";"\"1006.3\"";"\"1024.7\""
"\"05/2007\"";"\"29.7\"";"\"20.1\"";"\"14.9\"";"\"9.8\"";"\"2.3\"";"\"12.1\"";"\"14.9\"";"\"126.7\"";"\"30.8\"";"\"183.5\"";"\"215.0\"";"\"44.0\"";"\"76.8\"";"\"14.2\"";"\"0\"";"\"57.6\"";"\"999.1\"";"\"1024.6\""
"\"06/2007\"";"\"31.1\"";"\"23.6\"";"\"18.1\"";"\"12.4\"";"\"6.2\"";"\"14.8\"";"\"16.6\"";"\"55.9\"";"\"55.7\"";"\"178.5\"";"\"72.6\"";"\"15.2\"";"\"30.4\"";"\"6.4\"";"\"0\"";"\"53.5\"";"\"1005.0\"";"\"1020.3\""
"\"07/2007\"";"\"30.7\"";"\"24.6\"";"\"18.9\"";"\"13.1\"";"\"7.3\"";"\"15.4\"";"\"17.0\"";"\"47.6\"";"\"74.1\"";"\"254.2\"";"\"56.0\"";"\"10.0\"";"\"26.8\"";"\"6.2\"";"\"0\"";"\"79.5\"";"\"1001.2\"";"\"1022.7\""
"\"08/2007\"";"\"31.0\"";"\"23.5\"";"\"18.4\"";"\"13.0\"";"\"8.2\"";"\"15.8\"";"\"17.7\"";"\"53.1\"";"\"61.2\"";"\"203\"";"\"76.8\"";"\"20.4\"";"\"25.4\"";"\"7.4\"";"\"0\"";"\"75.9\"";"\"1004.1\"";"\"1026.9\""
"\"09/2007\"";"\"27.1\"";"\"20.3\"";"\"14.6\"";"\"8.9\"";"\"3.3\"";"\"10.3\"";"\"13.4\"";"\"125.6\"";"\"23.7\"";"\"225.2\"";"\"74.4\"";"\"27.0\"";"\"56.6\"";"\"10.5\"";"\"0\"";"\"61.1\"";"\"1006.2\"";"\"1027.3\""
"\"10/2007\"";"\"22.9\"";"\"15.4\"";"\"10.8\"";"\"6.6\"";"\"-3.6\"";"\"7.5\"";"\"15.5\"";"\"224.5\"";"\"7.5\"";"\"154\"";"\"18.8\"";"\"4.2\"";"\"9.2\"";"\"3.1\"";"\"0\"";"\"57.6\"";"\"1013.5\"";"\"1030.2\""
"\"11/2007\"";"\"16.0\"";"\"8.0\"";"\"4.0\"";"\"0.7\"";"\"-7.9\"";"\"0.3\"";"\"8.7\"";"\"400.7\"";"\"N/A\"";"\"100.1\"";"\"77.6\"";"\"47.6\"";"\"61.6\"";"\"9.4\"";"\"1.0\"";"\"61.1\"";"\"1006.4\"";"\"1032.1\""
"\"12/2007\"";"\"12.2\"";"\"5.7\"";"\"2.0\"";"\"-1.4\"";"\"-9.1\"";"\"-0.5\"";"\"7.3\"";"\"492\"";"\"N/A\"";"\"118.3\"";"\"59.2\"";"\"11.2\"";"\"38.8\"";"\"6.2\"";"\"0\"";"\"75.9\"";"\"1003.3\"";"\"1038.1\""
"\"01/2008\"";"\"15.4\"";"\"8.6\"";"\"4.5\"";"\"0.5\"";"\"-6.1\"";"\"1.5\"";"\"8.0\"";"\"418\"";"\"N/A\"";"\"111.2\"";"\"70.8\"";"\"18.6\"";"\"32.0\"";"\"5.2\"";"\"3.0\"";"\"83.5\"";"\"999.5\"";"\"1041.0\""
